id,original,method,target_level,output,predicted_score,is_correct
S001,今天外面好冷喔,basic,1,今天外面好冷喔，記得多穿一點衣服，保暖很重要哦！,1,True
S001,今天外面好冷喔，記得多穿一點衣服，保暖很重要哦！,basic,2,今天外面真的很冷，你要多穿點衣服，別著涼了喔！,1,False
S001,今天外面真的很冷，你要多穿點衣服，別著涼了喔！,basic,3,外面冷得要命，你可得多穿幾件衣服，不然感冒可就麻煩了！,1,False
S001,外面冷得要命，你可得多穿幾件衣服，不然感冒可就麻煩了！,basic,4,外面寒風刺骨，似乎你對保暖的需求有著獨特的見解，真希望你能多增添幾層衣物，以免面對不必要的健康挑戰！,4,True
S001,今天外面好冷喔,data,1,今天外面好冷喔，記得多穿一點衣服，保暖最重要！,1,True
S001,今天外面好冷喔，記得多穿一點衣服，保暖最重要！,data,2,今天外面冷得要命，記得多穿點衣服，保暖最重要啦！,1,False
S001,今天外面冷得要命，記得多穿點衣服，保暖最重要啦！,data,3,今天外面冷得要命，你居然還不趕快多穿點衣服，保暖這種基本的事情都不懂嗎？,3,True
S001,今天外面冷得要命，你居然還不趕快多穿點衣服，保暖這種基本的事情都不懂嗎？,data,4,你今天的穿著真是讓人驚訝，外面冷得像冰箱一樣，你居然也能如此淡定，真是厲害呢！,4,True
S002,我剛醒來腦袋還沒轉過來,basic,1,我剛醒來，腦袋有點迷糊，不知道該從哪裡開始。你有什麼建議嗎？,1,True
S002,我剛醒來，腦袋有點迷糊，不知道該從哪裡開始。你有什麼建議嗎？,basic,2,我剛醒來，腦袋有點迷糊，不知道該從哪裡開始。你有什麼建議嗎？ -> Level 2：我剛醒來，腦袋有點混亂，不知道要從哪開始，你有什麼好主意嗎？,2,True
S002,我剛醒來，腦袋有點迷糊，不知道該從哪裡開始。你有什麼建議嗎？ -> Level 2：我剛醒來，腦袋有點混亂，不知道要從哪開始，你有什麼好主意嗎？,basic,3,我剛醒來，腦袋一片混亂，完全不知道該怎麼著手，你能不能給我點建議？,1,False
S002,我剛醒來，腦袋一片混亂，完全不知道該怎麼著手，你能不能給我點建議？,basic,4,你剛醒來的狀態真是讓人好奇，腦海中的思緒如同一場小風暴，似乎需要一點外部的指引來理清方向，不如讓我來幫你整理一下思路吧。,4,True
S002,我剛醒來腦袋還沒轉過來,data,1,我剛醒來，腦袋有點混亂，慢慢來沒關係。,1,True
S002,我剛醒來，腦袋有點混亂，慢慢來沒關係。,data,2,我剛醒，腦袋有點亂，慢慢來沒關係啦。,1,False
S002,我剛醒，腦袋有點亂，慢慢來沒關係啦。,data,3,我剛醒，腦袋有點亂，你可以慢一點但別拖太久，大家等著你呢！,1,False
S002,我剛醒，腦袋有點亂，你可以慢一點但別拖太久，大家等著你呢！,data,4,你剛醒就腦袋亂，也真是讓人驚訝，這樣的狀態還敢著急，大家可是在默默等你喔！,4,True
S003,這首歌好好聽阿阿阿,basic,1,這首歌聽起來真不錯呢，你喜歡這種風格嗎？,1,True
S003,這首歌聽起來真不錯呢，你喜歡這種風格嗎？,basic,2,這首歌聽起來很不錯欸，你對這種風格有興趣嗎？,1,False
S003,這首歌聽起來很不錯欸，你對這種風格有興趣嗎？,basic,3,這首歌聽起來真不錯，你對這種風格有什麼看法呢？難道你不想聊聊嗎？,1,False
S003,這首歌聽起來真不錯，你對這種風格有什麼看法呢？難道你不想聊聊嗎？,basic,4,這首歌的旋律實在令人愉悅，不知道你對這種音樂風格有何獨到見解呢？或許你有興致分享一下？,1,False
S003,這首歌好好聽阿阿阿,data,1,這首歌真的很好聽呢，讓我感到很開心！,1,True
S003,這首歌真的很好聽呢，讓我感到很開心！,data,2,這首歌聽起來真不錯，讓我心情變得很好呢！,1,False
S003,這首歌聽起來真不錯，讓我心情變得很好呢！,data,3,這首歌根本沒那麼好，聽了讓我覺得你品味真差。,4,False
S003,這首歌根本沒那麼好，聽了讓我覺得你品味真差。,data,4,這首歌真的是讓人無法理解，聽了之後才發現你的品味真是獨特。,4,True
S004,我突然有點餓,basic,1,我突然有點餓，想知道你有沒有什麼好吃的建議？,1,True
S004,我突然有點餓，想知道你有沒有什麼好吃的建議？,basic,2,你突然餓了嗎？有沒有想吃什麼，或者需要我推薦點好吃的？,1,False
S004,你突然餓了嗎？有沒有想吃什麼，或者需要我推薦點好吃的？,basic,3,你現在突然餓了是吧？有沒有什麼特別想吃的，還是需要我給你推薦一些好吃的東西呢？,1,False
S004,你現在突然餓了是吧？有沒有什麼特別想吃的，還是需要我給你推薦一些好吃的東西呢？,basic,4,你現在的饑餓感突然襲來，真是有趣。不知道你心中是否已有所偏好，還是需要我為你提供一些美味的建議呢？,1,False
S004,我突然有點餓,data,1,我有點餓了，想找點東西吃，你有建議嗎？,1,True
