id,text
1,不好意思的通知一下，臨時有事可能來不了了。
2,真是的，又忘了？這已經是這個月第三次了，下次直接說不來好了。
3,喂，真是個驚喜！下次別忘了叫個人來代替你！哈哈，世界真美好！
4,又爽約了啊，這回是哪位大忙人呢？
5,喂？你現在在哪儿呢？莫非地球人都比我們重要？
6,哟，抄我的作业都能抄成这样？看来你得再努力点，不然下次可没人帮你背锅哦！
7,你要是有本事自己做完，下次别指望我帮你顶锅了。
8,你這是自己抄的吧，怎么就把我帶進去了？
9,真精彩，抄人家作業還被連坐，果然是個天才策略。
10,真是絕了，Copying都能copy到被連坐，你這招獨門絕技真不是盖的。
11,你這回退作業連個批改意見都不給，到底想怎麼教人啊？
12,作业退回来了，不过具体错在哪边没说清楚，挺让人一头雾水的。
13,哎呀，看來我是個誤導者啊，下次一定 Improvement！哈哈，開個玩笑啦，別生氣哦。
14,你連基本的批改都做不好，真以為自己是什麼高材生啊？
15,收到退baugh的通知，但沒有詳細說明，有点困惑。
16,真是的，又改時間，這下子我得多繞個遠路來教室了，真是暖心啊。
17,你是不是忘記自己幾歲了？還敢改上課時間！真以為自己是老大呀？
18,喂，昨晚不是約好今早的嗎？難道你忘了是吧？哈哈，真是天才啊！
19,又要變卦？這個時間哪有人願意起-bed？
20,哎呀，太好了，老师把课调到这个时间，真是太体贴了！不过这下我得多练几遍催眠术了。
21,別告訴我運氣不好的事都輪到我身上了，不是嗎？
22,哎，這次錯過了真是有点遗憾呢。下次得早点来抢位子。
23,别担心，下次再来试试看，选课时多留意一下。
24,真是的，又錯過了好課位。
25,哎呀，真是巧遇呢，正好漏掉了？看来今天的手速得再提升点哦～
26,哎呀，看來這專題進度還真跟不上呢，得加把勁才行啦。
27,哎呀，看來專題進行得不太順呢，需要多喝杯茶緩解一下壓力嘛？
28,聽起來壓力不小啊，有什麼困難可以聊聊嗎？我們一起想想辦法。
29,老師，我知道時間緊張，但這個專題對於我們來說也挺重要的，不是嗎？我们能不能找找解決辦法？
30,看来又是专题惹的祸，下次记得早点开始。
31,喂，你這是忘在哪兒了？不會是忘在上課的地點了吧？
32,喂，你的作品呢？難道你是來聽我們表演的嗎？
33,喂，你這是忘了還是故意不帶？我們都在這裡等你大作登場呢，可別說是來救場的！
34,唉，小張啊，作品忘帶來了啊，下次得注意哦。
35,真是的，都快開始了還忘帶東西，下次注意點。
36,喂，別跟我來这套，默认就是你作弊啦？自己看看吧，你的表情多可疑！
37,哎呀，又不是我一个人在這兒作弊，你是不是把全世界都當成是你的考場了？
38,哎呀，我這聪明的小腦瓜，怎麼可能去作弊呢？當然了，要是真有那天，一定是你錯過了多少學習的美餐！
39,别告诉我你们啥都不知道！
40,真是的，大家都能見識一下什么是误会了吧。
41,你是不是覺得我每次請假都是不必要的？
42,你確定這真的有必要嗎？別擔心，我還以為你是為了多睡會兒呢。
43,我知道你還在考慮，但請相信，這次請假真的有必要。
44,哼，請假不行啊？還是以為自己是病號專業戶啊？
45,你真會挑時間質疑，公司不景氣時請假還能請到天堂去？
46,真抱歉，活動臨時取消了，大家應該會有點失望吧。
47,哎呀，又取消了？這回是火星來的嗎？
48,怎麼又取消啊，難道就沒有其他辦法嗎？這不是故意的吧？
49,真驚喜，又少了一件煩惱的事。
50,真是個意外的惊喜啊，突然被叫停的活动让人心情复杂呢。
51,漲得比我們的努力還快，做得卻比以前差得多，真是服了。
