id,original,method,target_level,output,predicted_score,is_correct
S001,今天外面好冷喔,breeze_prompt,1,今天外面的溫度好像比較低，要注意保暖哦！,1,True
S001,今天外面的溫度好像比較低，要注意保暖哦！,breeze_prompt,2,今天氣溫較低，請注意保暖。,2,True
S001,今天氣溫較低，請注意保暖。,breeze_prompt,3,今天冷的要命，大家千萬別忘了保暖！,1,False
S001,今天冷的要命，大家千萬別忘了保暖！,breeze_prompt,4,今兒個的寒氣直逼骨髓，大家可別忘了給自己加件外套，免得凍得直發抖。,1,False
S001,今天外面好冷喔,breeze_with_data,1,今天外面的氣溫較低，要注意保暖。,2,False
S001,今天外面的氣溫較低，要注意保暖。,breeze_with_data,2,今天的氣溫較低，外出時請注意保暖。,2,True
S001,今天的氣溫較低，外出時請注意保暖。,breeze_with_data,3,今天的氣溫實在太低，出門別忘了好好保暖，不然真的很受不了一直聽到你在抱怨冷。,4,False
S001,今天的氣溫實在太低，出門別忘了好好保暖，不然真的很受不了一直聽到你在抱怨冷。,breeze_with_data,4,今天的氣溫實在太低，出門別忘了好好保暖，不然真的很受不了一直聽到你在吹冷風。,4,True
S002,我剛醒來腦袋還沒轉過來,breeze_prompt,1,剛睡醒時，我的腦袋還沒完全清醒，需要一些時間調整。,1,True
S002,剛睡醒時，我的腦袋還沒完全清醒，需要一些時間調整。,breeze_prompt,2,剛睡醒腦袋還沒完全清醒，需要一點時間調整。,1,False
S002,剛睡醒腦袋還沒完全清醒，需要一點時間調整。,breeze_prompt,3,剛睡醒腦袋還沒完全清醒，需要點時間調整，別一直逼我。,3,True
S002,剛睡醒腦袋還沒完全清醒，需要點時間調整，別一直逼我。,breeze_prompt,4,剛睡醒靈魂還沒脫離夢鄉，需要點時間重獲自由，別一直敲我的門。,2,False
S002,我剛醒來腦袋還沒轉過來,breeze_with_data,1,我剛睡醒腦袋還沒完全清醒。,2,False
S002,我剛睡醒腦袋還沒完全清醒。,breeze_with_data,2,我剛起床，腦袋尚未完全清醒。,2,True
S002,我剛起床，腦袋尚未完全清醒。,breeze_with_data,3,你明明才剛起床，腦袋還一團糟，到底在說什麼？,4,False
S002,你明明才剛起床，腦袋還一團糟，到底在說什麼？,breeze_with_data,4,你明明才剛起床，腦袋還一團糟，竟然還想在這裡大放厥詞？,4,True
S003,這首歌好好聽阿阿阿,breeze_prompt,1,這首歌真的很動聽，讓我們一起好好享受吧！,1,True
S003,這首歌真的很動聽，讓我們一起好好享受吧！,breeze_prompt,2,這首歌真的很好聽，一起好好享受吧！,1,False
S003,這首歌真的很好聽，一起好好享受吧！,breeze_prompt,3,這首歌真的很好聽，別再猶豫了，趕快一起好好享受吧！,1,False
S003,這首歌真的很好聽，別再猶豫了，趕快一起好好享受吧！,breeze_prompt,4,這首歌簡直是神作，猶豫什麼？趕緊入坑，一起沉浸在美妙旋律中吧！,4,True
S003,這首歌好好聽阿阿阿,breeze_with_data,1,這首歌真的很悅耳呢。,1,True
S003,這首歌真的很悅耳呢。,breeze_with_data,2,這首歌的確很好聽。,2,True
S003,這首歌的確很好聽。,breeze_with_data,3,這首歌真的很煩人，每次聽到都想翻白眼。,4,False
S003,這首歌真的很煩人，每次聽到都想翻白眼。,breeze_with_data,4,這首歌簡直令人受不了，每次聽到都忍不住想翻白眼，彷彿成為了我的專屬招牌動作。,4,True
S004,我突然有點餓,breeze_prompt,1,我突然覺得肚子有點餓，需要吃點東西嗎？,1,True
S004,我突然覺得肚子有點餓，需要吃點東西嗎？,breeze_prompt,2,你肚子餓了嗎，需要吃點東西？,1,False
S004,你肚子餓了嗎，需要吃點東西？,breeze_prompt,3,你到底在等甚麼，是不是肚子餓，快出來吃點東西啦！,3,True
S004,你到底在等甚麼，是不是肚子餓，快出來吃點東西啦！,breeze_prompt,4,你究竟在沉思甚麼，是不是在思考人生的意義，不如先飽足一下肚子再繼續吧！,4,True
S004,我突然有點餓,breeze_with_data,1,我現在感覺有點肚子餓。,2,False
S004,我現在感覺有點肚子餓。,breeze_with_data,2,目前我感到些許肚子餓。,1,False
S004,目前我感到些許肚子餓。,breeze_with_data,3,你每次都拖到這種時候才說肚子餓，是不是太沒效率了？,4,False
S004,你每次都拖到這種時候才說肚子餓，是不是太沒效率了？,breeze_with_data,4,看你這副模樣，我都替你感到羞恥。,4,True
S005,你剛剛那句話很好笑,breeze_prompt,1,你剛剛說的那句話真的很有趣，有沒有讓我們都笑了呢？,1,True
S005,你剛剛說的那句話真的很有趣，有沒有讓我們都笑了呢？,breeze_prompt,2,你剛剛說的那句話真的很有趣，大家有因為它而笑嗎？,1,False
